id,name,community,degree
facebook.com/groups/154474475183871,INKURU Z'URUKUNDO NA STORY ZISEKEJE(I U N S Z.LoVE),15,64
facebook.com/groups/1045608568821804,Vecinos de Remedios de Escalada y Lanús,8,37
facebook.com/groups/1822968637866919,Apoyo total al diputado Rodolfo Tailhade,8,166
facebook.com/groups/264623490660867,QUE PASA EN LANUS?,8,29
facebook.com/groups/2835144730050929,C5n en vivo,8,71
facebook.com/groups/1093222728110155,Все буде Україна!🇺🇦,13,34
facebook.com/groups/127190681169687,Оголошення місто Хорол,13,16
facebook.com/groups/2006817992906013,НАШІ ЧЕРКАСИ,13,38
facebook.com/groups/282987139630095,гумор,13,25
facebook.com/groups/541023702602912,Україна,13,67
facebook.com/groups/605264769637114,УКРАЇНА LIVE - Всі новини України та світу,13,59
facebook.com/groups/355827961488534,JUNTOS SIGAMOS HACIENDO HISTORIA CON LA 4T,1,392
facebook.com/groups/403791066782664,Paco Ignacio  Taibo  ll,1,452
facebook.com/groups/471881780863175,Beatriz Gutiérrez Müller,1,56
facebook.com/groups/562979757684780,Unidos por la transformacion de Mexico,1,472
facebook.com/groups/1680218082124909,"PÁTRIA AMADA, BRASIL! (OFICIAL)",2,118
facebook.com/groups/1727702550847953,Bruno Zambelli 2022,2,72
facebook.com/groups/357310678311890,Deputado Federal Ricardo Salles,2,66
facebook.com/groups/1145480622909048,Všetci za vládu premiéra Róberta Fica! Verní Slovenskej republike! Za MIER!,5,53
facebook.com/groups/210498691262280,METRIX - ogrgeľ Matovic a jeho Himmler Lipšic patria do basy!,5,37
facebook.com/groups/258738854556218,Našu Krajnu nepostihla žiadna živelná pohroma – je postihnutá chamtivosťou,5,6
facebook.com/groups/270658777881668,Hanbím sa za stranu DEMOKRATI,5,13
facebook.com/groups/3338066752982819,REVOLUCIA PRAVDY .,5,10
facebook.com/groups/411184056694126,C-21,5,47
facebook.com/groups/379047809786339,17 de Octubre (Somos 100.000 | Grupo De Cadena VLV - Viralizando La Verdad),8,316
facebook.com/groups/1927028430871404,OYENTES DE RADIO AM 750,8,98
facebook.com/groups/1635073866780668,Ultimas Noticias,1,25
facebook.com/groups/244885169330304,Hay Unidad 2023 (Somos 65.000 | Grupo de VLV - Viralizando La Verdad),8,213
facebook.com/groups/2667938559943706,Hagamos Patria (Somos 40.000 | Grupo de VLV - Viralizando La Verdad),8,187
facebook.com/groups/320556354810758,"Debates Polêmicos - Política, Religião e Ciência - V",2,83
facebook.com/groups/1040540689416343,KULINER TULUNGAGUNG,16,12
facebook.com/groups/1230873117248742,Wong Kecamatan NGANTRU [ TULUNGAGUNG ],16,21
facebook.com/groups/141183649993161,INFO SEKITAR TANJUNGANOM,16,15
facebook.com/groups/2048603002044596,forum jual beli NGANTRU dan sekitarnya,16,22
facebook.com/groups/2108196892686366,Wong kecamatan kras,16,18
facebook.com/groups/256407044497495,Forum Jual Beli NGUNUT,16,12
facebook.com/groups/371137580725057,Seputar Ngujang 2 Tulungagung,16,19
facebook.com/groups/391971319510126,PASAR ONLINE PANJER REJOTANGAN NGUNUT,16,12
facebook.com/groups/3962735433762008,Pasar Grosir Ngronggo Kediri,16,12
facebook.com/groups/438065346721615,TALES GUYUP RUKUN,16,17
facebook.com/groups/557627438526207,jual beli ngujang 2 dan sekitarnya,16,12
facebook.com/groups/819185915492047,"DODOLANE WONG UDANAWU,WONODADI,SRENGAT,PONGGOK & SEKITARNYA",16,12
facebook.com/groups/1401835833252808,Unión por la Patria (Sierras Chicas),8,94
facebook.com/groups/1528043950964350,Cleitinho no Senado!,2,27
facebook.com/groups/1567956043516069,Sérgio Moro TRAIDOR,2,82
facebook.com/groups/190681701115974,Anuncios Grande Florianopolis,2,5
facebook.com/groups/291662674760916,BOLSONARO  PATRIOTA,2,5
facebook.com/groups/1608279842826650,Chceme mier a slobodu!,5,23
facebook.com/groups/1095385977942263,JUAL BELI MOTOR BEKAS KEBUMEN,17,6
facebook.com/groups/1149984125134224,GUDANG ONDERDIL MOTOR PURWOREJO,17,6
facebook.com/groups/1218484858491905,Jual beli sepeda motor STNK ZONK AAkebumen,17,26
facebook.com/groups/1889531631281974,Jual Beli Motor Terbesar Stnk Kebumen Only,17,27
facebook.com/groups/198803940591436,IBLP ( Info Balap Liar Purworejo ),17,10
facebook.com/groups/533754236740782,PIPO (PITUNG PURWOREJO),17,6
facebook.com/groups/248554239089960,ORGULLOSAMENTE NACIONALISTAS EL SALVADOR,18,1
facebook.com/groups/1650485161837547,FUJIMORI NUNCA MÁS,19,156
facebook.com/649921241752075,Antonio Belinati,20,1
facebook.com/100090762257565,Jornal da Cidade Online2,2,106
facebook.com/687989144691505,Jornalista José Tolentino,2,112
facebook.com/924943630869672,Jornal da Cidade Online,2,111
facebook.com/53837363556,"Ano, šéfe!",5,33
facebook.com/groups/131915778646395,"NEOČKOVANÍ CZ, SK pro MÍR ! NE VÁLCE !",5,94
facebook.com/groups/224125974343626,Lidé společně proti kapitalismu,5,33
facebook.com/groups/750140313058241,Občané ČR: Chceme vystoupení z EU !!!,5,61
facebook.com/400332483415594,Prima ŽENY,5,16
facebook.com/groups/1810023252353590,frente unidad ciudadana 1 ciudad de la banda provincia de satgo del estero,8,187
facebook.com/groups/183192585759475,Argentina Anti Macri,8,73
facebook.com/groups/411689219362586,Unidos por la Patria y por Cristina Fernandez de kirchner🇦🇷,8,225
facebook.com/groups/101231009945632,BARRIO BELVEDERE,21,159
facebook.com/groups/1022697438450091,Halil İbrahim Ceyhan,21,159
facebook.com/groups/1064630780293789,carros de oportunidad hermosillo!!!! BBB (OFICIAL),21,159
facebook.com/groups/107813042661828,LA REINA 95.5  CARTAGENA  DE  INDIAS,21,122
facebook.com/groups/1082032572219626,Carlos riso,21,159
facebook.com/groups/1082159728923477,FRASES DE BTS�,21,159
facebook.com/groups/1082345802237980,Decoración de uñas,21,159
facebook.com/groups/1092533324577588,Carolina Ross ❤,21,122
facebook.com/groups/1163950144040337,❤️ REYMİRİM ❤️ EBRU ŞAHİN ❤️ AKIN AKINÖZÜ ❤️,21,279
facebook.com/groups/117590686850446,Hercai,21,159
facebook.com/groups/1195206400924219,fans de Cristiano ronaldo,21,195
facebook.com/groups/1199337087578802,Tania dulce (la más fea),21,159
facebook.com/groups/1209307300013717,Amamos a C kan 💛,21,195
facebook.com/groups/1244976545891920,Los Rooferos,21,296
facebook.com/groups/1257321524407469,cocinas nuevas y usadas,21,159
facebook.com/groups/127512916409,Villas Mi Lindo Villas,21,122
facebook.com/groups/1342135696168749,"DIOS ES BUENO , REFLEXIONES 😇🙏",21,122
facebook.com/groups/134743198702577,GALERÍAS MAYORISTAS FLORES ONCE SALADA,21,159
facebook.com/groups/1353035101711545,frases de Jenny Rivera la gran Señora y más,21,122
facebook.com/groups/137561448432268,Videos infantiles,21,159
facebook.com/groups/1376642045710120,autos baratos menos de 500 mil,21,122
facebook.com/groups/139658276604389,SEGUIDORES DE LAIN GARCÍA CALVO,21,168
facebook.com/groups/1427233880958036,AutoCAD Básico,21,159
facebook.com/groups/14773961020,NANCY AMANCIO,21,159
facebook.com/groups/1588389828039278,El Yonke compra venta de auto partes usadas y carros para deshuese,21,122
facebook.com/groups/159498039541066,"ANSES Consultas: Tarjeta alimentaria, SUAF, AUH, AUE, BONOS",21,122
facebook.com/groups/1610718785879276,COMPRA Y VENTA DE MAQUINAS TEXTILES  EN Bs As,21,279
facebook.com/groups/1762695937250422,Maquillaje y más,21,159
facebook.com/groups/182070209234497,Amor imágenes y algo mas,21,122
facebook.com/groups/185851321812682,devoción a la preciosisima sangre de Jesucristo,21,159
facebook.com/groups/188282098574381,Frases Anuel AA,21,122
facebook.com/groups/191328619301833,patito feo,21,159
facebook.com/groups/1948963915148484,Chisme Salamanca,21,122
facebook.com/groups/2054125101560691,¿TIENES A UN FAMILIAR DESAPARECIDO?  ÚNETE,21,159
facebook.com/groups/213911182110988,REFLEXIONES DE VIDA,21,389
facebook.com/groups/220922769187493,Apoyo a pequeños comerciantes y vendedores Quimbaya Q.,21,159
facebook.com/groups/2299341570356749,Seguidores  de  fe  del  padre ignacio,21,432
facebook.com/groups/2391234571171619,CHAYANNE,21,452
facebook.com/groups/246147122106191,cirujeando rosario,21,318
facebook.com/groups/253299783685246,solo libra,21,432
facebook.com/groups/256865066072323,✔️MI SECRETO Eres tu     Oficial,21,279
facebook.com/groups/256910742610956,Fans❤️Efraruales💘🥰,21,122
facebook.com/groups/260641550709887,Chat de Oración Virgen de San Nicolás,21,122
facebook.com/groups/267678521513506,Gente Rota Grupo Oficial,21,255
facebook.com/groups/269677494270283,Acertijos mentales,21,122
facebook.com/groups/2717117535188717,Marketplace Guatemala,21,122
facebook.com/groups/2740666196236250,La Konga,21,122
facebook.com/groups/287016505728711,Antena Noticias RD,21,159
facebook.com/groups/289095759177243,MalAndraS cOn EstiLO,21,159
facebook.com/groups/2975207342756124,todo en pandoras,21,315
facebook.com/groups/297850771210573,Hercai (Telenovela turca),21,159
facebook.com/groups/3018189351802215,Can Yaman fans,21,122
facebook.com/groups/307504384088980,EEG EL CLASICO,21,318
facebook.com/groups/311118650467973,Devotos de Santa Rita de Casia,21,122
facebook.com/groups/3141754509405706,DOSIS DIARIA WILLIAN ARANA,21,159
facebook.com/groups/321318376085980,autos chutos recien llegados,21,122
facebook.com/groups/322523012753895,Imaray Ulloa Fans ❤️,21,122
facebook.com/groups/330356997308500,"Musica de los años 70, 80 y 90",21,279
facebook.com/groups/336041564513636,K-Dramas completos ❣️,21,575
facebook.com/groups/356405485927709,"Italika 125Z,150Z, 150sZ 170Z, 200Z, 250Z,  modificadas😎🥵🔥",21,122
facebook.com/groups/3674286849336776,ideas de uñas en acrilico,21,350
facebook.com/groups/372772747427894,Tejiendo con Livia Ely,21,159
facebook.com/groups/376995002463689,ABUELAS MODERNAS,22,279
facebook.com/groups/377615963392607,Beato Carlo Acutis,21,665
facebook.com/groups/401287013389301,Nacidos bajo el signo de Capricornio,21,328
facebook.com/groups/411705203421596,Fan grup Ozcan Deniz,21,328
facebook.com/groups/412501143309790,LETRAS TIMOTEO Y MANUALIDADES,21,523
facebook.com/groups/426035441858228,James Rodriguez,21,159
facebook.com/groups/437856687947351,recibimos bebé recién nacido 🍭,21,159
facebook.com/groups/4400810536661263,Pájaro soñador,21,159
facebook.com/groups/441162566923700,Gelatinas artísticas,21,223
facebook.com/groups/4454855031193377,tenis Nike baratos,21,159
facebook.com/groups/453617964741451,AUTOS USADOS ROSARIO,21,159
facebook.com/groups/456582552734680,Trajes típicos boutique CYD,21,159
facebook.com/groups/469329180980895,Tutoriales y tips de maquillaje���,21,159
facebook.com/groups/470177387481804,ALBAÑILES - CARPINTEROS - FIERREROS - PICAPEDREROS ( LIMA - PERÚ - OFICIAL),21,159
facebook.com/groups/477407944187532,Mis canticos de los Testigos de Jehová Erick Martínez,21,159
facebook.com/groups/4795611263866462,Amante del crochet,21,159
facebook.com/groups/495164955382427,Fans De Nena Vil,21,122
facebook.com/groups/496632787700774,Nicaragua para el mundo,21,612
facebook.com/groups/510646330109307,Patrones de costura,21,318
facebook.com/groups/514545215421756,Seguidores de Oscar D' Leon,21,315
facebook.com/groups/521802628904907,-EXATLÔN 🇺🇸 ALL STAR -,21,422
facebook.com/groups/536324741151920,Ideas decoraciones de casa y cuartos,21,122
facebook.com/groups/570313487479672,FELIZ CUMPLEAÑOS ��,21,159
facebook.com/groups/570993710616114,Amantes de shoto todoroki,21,279
facebook.com/groups/584245392558850,GYMVIRTUAL CALENDARIO,21,159
facebook.com/groups/58662463687,Rafael Nadal,21,315
facebook.com/groups/594754784012406,todo a crochet,21,315
facebook.com/groups/600166977789043,fan de natti y vida,21,122
facebook.com/groups/603794224737669,Decisiones Capitulos completos,21,159
facebook.com/groups/626948150679790,"Venta de carros, motos y camionetas usados los mochis",21,122
facebook.com/groups/628740468015389,ESCALERA AL CIELO.. 😥👀👀👇,21,279
facebook.com/groups/645417910105377,Alberto del arco,21,159
facebook.com/groups/667201767539940,chevrolet 55.56.57,21,159
facebook.com/groups/677113976254179,Devotos de San Benito,21,159
facebook.com/groups/684879771619767,SUCESOS Y NOTICIAS NACIONALES E INTERNACIONALES,21,315
facebook.com/groups/686143349401579,Amanda Miguel ♡,21,159
facebook.com/groups/699919697504937,La Bella Chanel,21,282
facebook.com/groups/714554719041318,AMOR EN BLANCO Y NEGRO (DELICIAS TURCAS),21,159
facebook.com/groups/716476362370960,🌟apuntes lindos🌟,21,122
facebook.com/groups/729565181041401,KIM HYUN JOONG,21,122
facebook.com/groups/735485047432408,EMPLEOS PEPSI - GEP - PEPSICO,21,122
facebook.com/groups/737056207124734,Venta Chompas de Lana Tejidas a Mano,21,122
facebook.com/groups/753854291922596,cursos de colorimetría,21,122
facebook.com/groups/775384483376343,venta de moto 2T y 4T,21,159
facebook.com/groups/777399682316057,mi santa muerte chuihuahua,21,122
facebook.com/groups/780138242766666,En ViVo,21,181
facebook.com/groups/782789312534254,fans chevrolet cmv,21,315
facebook.com/groups/789629111832409,mundo de maquillaje,21,197
facebook.com/groups/827901567781241,Fondos de pantalla bonitos,21,122
facebook.com/groups/835900011065293,Fan de Carol villanes,21,160
facebook.com/groups/879256016016835,Fanclub Henecia Internacional Oficial,21,159
facebook.com/groups/879284316107732,Bordado Español,21,247
facebook.com/groups/905942577016692,El mundo de los Nike,21,159
facebook.com/groups/913663909411365,Plim Plim,21,223
facebook.com/groups/925307355011423,GYM Y CULTURISMO,21,122
facebook.com/groups/932124657398536,HERCAI_ Fans Club de MIRAN Y REYYAN \,21,279
facebook.com/groups/946887699105535,Perros Perdidos y Encontrados 🐕,21,122
facebook.com/groups/948873155975989,Prichard Colón,21,204
facebook.com/groups/976521809868457,Baris Arduc,21,122
facebook.com/groups/978327735933929,Recetas saludables,22,315
facebook.com/groups/1049190685108086,Bulukumba dagang,23,3
facebook.com/groups/140461813389183,Bulukumba Dagang,23,3
facebook.com/groups/536202066550093,LOWONGAN KERJA BULUKUMBA,23,3
facebook.com/groups/359824881874043,"CON - PODEMOS,  NO PASARAN",19,65
facebook.com/410645279333329,ME LLAMO GUSTAVO PETRO Y SOY SU PRESIDENTE.,6,80
facebook.com/groups/153146131487647,.Yo Opino Colombia,6,115
facebook.com/1468107219893781,AMLO Somos tu Gente,1,446
facebook.com/1633583123601389,AMLO adelante !!!,1,609
facebook.com/groups/1006513736374397,Yo Apoyo a Rafael Correa group,6,114
facebook.com/groups/1091434160996397,100% incorrección política,1,14
facebook.com/groups/1804167166570514,VECINOS DE VILLA EL SALVADOR,1,14
facebook.com/groups/185496442107640,Debate Sin Censura - Quinto Poder,1,113
facebook.com/groups/214276652322369,UNIDAS PODEMOS GRUPO DE APOYO,1,14
facebook.com/groups/2492536470763383,MEXICANOS CON AMLO,1,536
facebook.com/groups/2597497576953139,AMLO REVIVE A LA GALLINA DE  LOS HEVOS DE ORO,1,153
facebook.com/groups/283733032001618,Diosdado Cabello 😎,1,14
facebook.com/groups/439572933321524,VECINOS DE VILLA EL SALVADOR OFICIAL - VES,1,14
facebook.com/groups/450283266396082,AMLO Y MORENA SOMOS LA GRAN FUERZA DE MÉXICO,1,329
facebook.com/groups/484985428741319,🇲🇽mexicanos al grito de guerra 4ta transformación 🇲🇽,1,35
facebook.com/1457135507899312,Диванна сотня,13,78
facebook.com/100064803278898,Direita Minas - Arcos,2,18
facebook.com/153944631892094,MBCC - Movimento Brasil Contra a Corrupção,2,116
facebook.com/825954890834995,GRUPO OLAVO DE CARVALHO,2,87
facebook.com/groups/156636855034104,ADMINISTRADORES DE PAGINAS E GRUPOS (OFICIAL),3,345
facebook.com/groups/157019867829722,PATRIOTAS BRASIL.,2,28
facebook.com/groups/162140954714949,PT NUNCA MAIS!,2,24
facebook.com/groups/2669075113376591,Presidente Jair Bolsonaro,2,61
facebook.com/groups/2714199578673121,Eleições 2024 - Cambuí MG,2,43
facebook.com/groups/306037166842386,MulheresComBolsonaro B22,2,28
facebook.com/1435071773455316,Daily Wire,7,32
facebook.com/341602350104432,The Right View Of The United States,7,3
facebook.com/633168823488043,Fed-Up Americans,7,15
facebook.com/103226781082918,Slunečná,5,15
facebook.com/128961073840396,Prima Love,5,15
